State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Agricultural_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet
Rajasthan,Dhaulpur,26.72397055,77.7447622,106,RAJASTHAN,1206516,653647,552869,683098,435721,247377,74342,1127520,72258,688,1356,92,2739,21,96086,1330
Rajasthan,Karauli,26.51901556,76.96081818,107,RAJASTHAN,1458248,783639,674609,805849,531904,273945,115367,1370977,81553,602,297,70,3424,413,132079,1059
Rajasthan,Sawai Madhopur,26.25108118,76.42192839,108,RAJASTHAN,1335551,704031,631520,741748,486184,255564,88804,1165505,155681,945,812,177,9991,42,140947,1887
Rajasthan,Dausa,26.91234818,76.57342097,109,RAJASTHAN,1634409,857787,776622,938051,596935,341116,76277,1582335,45488,439,296,94,3737,115,195277,1719
Rajasthan,Jaipur,27.03345929,75.77117286,110,RAJASTHAN,6626178,3468507,3157671,4300965,2554793,1746172,131523,5819980,687452,12708,18782,1020,81079,257,990085,76565
Rajasthan,Sikar,27.64644059,75.29317423,111,RAJASTHAN,2677333,1374990,1302343,1652117,995275,656842,87889,2342076,327583,1122,356,177,4050,15,339457,5647
Rajasthan,Nagaur,27.07862016,74.14215667,112,RAJASTHAN,3307743,1696325,1611418,1758624,1102750,655874,263401,2833443,454487,1912,366,163,12940,276,347344,4449
Rajasthan,Jodhpur,26.67846084,73.00450847,113,RAJASTHAN,3687165,1923928,1763237,2031532,1265753,765779,242017,3224399,411558,6035,4123,514,36697,80,408808,19335
Rajasthan,Jaisalmer,26.86900839,71.18371877,114,RAJASTHAN,669919,361708,308211,308653,210415,98238,43872,497045,168129,874,1723,98,1521,34,43141,754
Rajasthan,Barmer,25.77070908,71.50297126,115,RAJASTHAN,2603751,1369022,1234729,1188322,783461,404861,132696,2244882,321192,1157,450,157,34010,34,126494,2766
Rajasthan,Jalor,25.07578094,72.18647262,116,RAJASTHAN,1828730,936634,892096,829582,543923,285659,158013,1732852,78990,730,231,144,14640,82,161845,1585
Rajasthan,Sirohi,24.79769053,72.75309132,117,RAJASTHAN,1036346,534231,502115,476806,309900,166906,97823,996562,30479,1284,572,114,6829,56,134089,2146
Rajasthan,Pali,25.80490394,73.55285641,118,RAJASTHAN,2037573,1025422,1012151,1085693,667381,418312,237280,1870543,143476,1345,1540,141,18974,52,326793,4043
Rajasthan,Ajmer,26.19930038,74.69904192,119,RAJASTHAN,2583052,1324085,1258967,1526673,926268,600405,145523,2201663,314159,10605,6799,417,45614,184,393498,13499
Rajasthan,Tonk,26.15393507,75.79192216,120,RAJASTHAN,1421326,728136,693190,749659,478329,271330,113426,1243527,153146,754,378,122,22458,30,158264,1908
Rajasthan,Bundi,25.48580716,75.79984074,121,RAJASTHAN,1110906,577160,533746,585044,371705,213339,111388,1017688,66609,682,11059,144,13455,24,136969,1392
Rajasthan,Bhilwara,25.45119768,74.63947596,122,RAJASTHAN,2408523,1220736,1187787,1256126,777582,478544,163052,2224839,142427,1978,1468,183,35149,60,373644,6207
Rajasthan,Rajsamand,25.24894767,73.96570216,123,RAJASTHAN,1156597,581339,575258,619139,383334,235805,106587,1105676,33677,759,260,100,14966,68,193276,1989
Rajasthan,Dungarpur,23.75104808,73.84765641,124,RAJASTHAN,1388552,696532,692020,681591,415820,265771,184330,1340065,28662,830,240,226,16141,853,141275,1477
Rajasthan,Banswara,23.45364203,74.44246868,125,RAJASTHAN,1797485,907754,889731,829343,513854,315489,199370,1701234,48834,22250,427,138,22613,109,120603,2324
Rajasthan,Chittaurgarh,24.63162376,74.80010998,126,RAJASTHAN,1544338,783171,761167,821825,514851,306974,123469,1413163,97855,1274,1515,252,25843,136,268172,4941
Rajasthan,Kota,25.17571808,76.18618928,127,RAJASTHAN,1951014,1021161,929853,1298345,765396,532949,134992,1661307,243993,5665,11058,280,25742,286,339899,12843
Rajasthan,Baran,24.98023243,76.86210652,128,RAJASTHAN,1222755,633945,588810,693307,432607,260700,185037,1133349,79984,1432,3066,84,2795,48,161310,1363
Rajasthan,Jhalawar,24.24725541,76.11242892,129,RAJASTHAN,1411129,725143,685986,739792,466815,272977,209772,1299751,96164,842,819,46,12488,42,220428,1750
Rajasthan,Udaipur,24.44076752,73.8402984,130,RAJASTHAN,3068420,1566801,1501619,1582629,973444,609185,302968,2869976,104307,7406,4278,209,78647,373,357846,14211
Uttar Pradesh,Pratapgarh,25.86484273,81.93530049,131,RAJASTHAN,867848,437744,430104,401515,250122,151393,96815,827293,25597,358,72,32,14077,27,71612,716
Uttar Pradesh,Saharanpur,30.03381165,77.59905148,132,UTTAR PRADESH,3466382,1834106,1632276,2077108,1220114,856994,273050,1966892,1454052,6523,18627,1937,10208,135,404499,9699
Uttar Pradesh,Muzaffarnagar,29.47050798,77.64017848,133,UTTAR PRADESH,4143512,2193434,1950078,2417339,1448528,968811,323641,2382914,1711453,6495,18601,1516,16345,60,368153,10077
Uttar Pradesh,Bijnor,29.31397426,78.45098815,134,UTTAR PRADESH,3682713,1921215,1761498,2135393,1241471,893922,311489,2032081,1585210,6184,50624,1736,2134,41,268353,7303
Uttar Pradesh,Moradabad,28.85177041,78.73580193,135,UTTAR PRADESH,4772006,2503186,2268820,2263848,1357435,906413,338384,2488265,2248392,13157,7555,1260,2426,382,281758,11690
Uttar Pradesh,Rampur,28.83244727,79.10977333,136,UTTAR PRADESH,2335819,1223889,1111930,1043666,630408,413258,230238,1073890,1181337,9201,65316,384,1307,63,131112,3847
Uttar Pradesh,Jyotiba Phule Nagar,28.87049898,78.39009365,137,UTTAR PRADESH,1840221,963449,876772,983110,600541,382569,131877,1075440,750368,5952,5295,189,517,21,89329,2825
Uttar Pradesh,Meerut,29.02957626,77.80611006,138,UTTAR PRADESH,3443689,1825743,1617946,2141488,1254520,886968,153995,2183255,1185643,10582,24912,1855,18544,236,425624,23717
Uttar Pradesh,Baghpat,29.0457935,77.302663,139,UTTAR PRADESH,1303048,700070,602978,797970,489858,308112,74500,917474,364583,1840,483,161,16139,25,119121,2989
Uttar Pradesh,Ghaziabad,28.74997309,77.67441879,140,UTTAR PRADESH,4681645,2488834,2192811,3123264,1811397,1311867,123680,3414427,1186776,19026,23001,3487,16412,265,695130,78116
Uttar Pradesh,Gautam Buddha Nagar,28.39331104,77.52462468,141,UTTAR PRADESH,1648115,890214,757901,1122947,666065,456882,48845,1394025,215500,7366,9261,895,4518,91,257586,53181
Uttar Pradesh,Bulandshahr,28.34875862,78.01082759,142,UTTAR PRADESH,3499171,1845260,1653911,2031656,1253314,778342,241137,2707195,777407,4088,2765,669,1572,86,223922,7865
Uttar Pradesh,Aligarh,27.93748577,78.00146831,143,UTTAR PRADESH,3673889,1951996,1721893,2092567,1283380,809187,267197,2904140,729283,7635,5875,2582,2805,91,268120,13634
Uttar Pradesh,Mathura,27.59390433,77.62153417,145,UTTAR PRADESH,2547184,1367125,1180059,1507746,943346,564400,179248,2310776,216933,3179,2872,883,2056,126,281239,8726
Uttar Pradesh,Agra,26.99512975,78.05278292,146,UTTAR PRADESH,4418797,2364953,2053844,2680510,1614594,1065916,234455,3922718,411313,10076,12057,4049,21508,384,536402,27183
Uttar Pradesh,Firozabad,27.20963993,78.42660625,147,UTTAR PRADESH,2498156,1332046,1166110,1521806,912314,609492,150221,2140745,314812,3370,1804,3395,19077,61,196080,5834
Uttar Pradesh,Mainpuri,27.17386862,79.03501851,148,UTTAR PRADESH,1868529,993377,875152,1203885,712110,491775,137174,1746649,100723,1729,475,8814,4161,38,79022,2642
Uttar Pradesh,Bareilly,28.51101941,79.43187072,150,UTTAR PRADESH,4448359,2357665,2090694,2191759,1342697,849062,326376,2830768,1536534,14822,28187,4371,931,339,272830,15164
Uttar Pradesh,Pilibhit,28.52024175,79.90103974,151,UTTAR PRADESH,2031007,1072002,959005,1061095,654290,406805,224192,1449007,489686,3510,84787,360,138,45,83006,2870
Uttar Pradesh,Shahjahanpur,27.99138935,79.83022753,152,UTTAR PRADESH,3006538,1606403,1400135,1490930,915142,575788,275192,2412595,527581,4630,51090,2312,301,84,115163,3889
Uttar Pradesh,Sitapur,27.50199596,80.85288881,154,UTTAR PRADESH,4483992,2375264,2108728,2283733,1397702,886031,473554,3555450,893725,6579,11611,2663,1410,79,102040,3874
Uttar Pradesh,Hardoi,27.33740909,80.26411768,155,UTTAR PRADESH,4092845,2191442,1901403,2221601,1374587,847014,406830,3508131,556219,5822,5688,6671,446,98,95508,3845
Uttar Pradesh,Unnao,26.63163991,80.63677329,156,UTTAR PRADESH,3108367,1630087,1478280,1773584,1053063,720521,332663,2732016,363453,3574,1204,920,240,31,99466,3476
Uttar Pradesh,Lucknow,26.83823359,80.89706027,157,UTTAR PRADESH,4589838,2394476,2195362,3127260,1742440,1384820,203029,3537787,985070,20493,23883,3877,4975,504,582769,68506
Uttar Pradesh,Rae Bareli,26.25390284,81.22260463,158,UTTAR PRADESH,3405559,1752542,1653017,1965843,1165965,799878,507882,2975998,413243,3634,2424,722,397,602,247856,5184
Uttar Pradesh,Farrukhabad,27.45063298,79.44062846,159,UTTAR PRADESH,1885204,1006240,878964,1092677,654827,437850,135679,1596278,276846,3137,3160,3161,487,100,88081,2624
Uttar Pradesh,Kannauj,26.99398862,79.6443794,160,UTTAR PRADESH,1656616,881776,774840,1017087,603596,413491,129517,1375788,273967,1263,504,2033,606,65,61491,2488
Uttar Pradesh,Etawah,26.7881767,79.07621806,161,UTTAR PRADESH,1581810,845856,735954,1062003,623583,438420,158026,1457892,113961,1362,1045,1733,3917,94,113098,2964
Uttar Pradesh,Auraiya,26.66892394,79.42637057,162,UTTAR PRADESH,1379545,740040,639505,930836,546198,384638,151727,1273546,101963,1004,371,332,228,444,65479,2404
